Panel,α,β,γ,δ,θ_D,F_D,η_D,θ_P,F_P,η_P,η_PPNZ,F_PPNZ,Z_P,b,g,N,Z_D
B,0.45,0.0,0.1,1.0,0.5,0.0,0.2,0.6,1.0,0.2,0.0,0.25,0.3,-3.0,step,24,
D,0.45,0.0,0.0,1.0,0.6,0.0,0.2,0.9,1.0,0.2,,,0.5,-3.0,step,24,0.2
